Lat,Lng,popup  
16.798,-89.555,2017-04-29
16.797,-89.564,2017-04-29
16.807,-89.556,2017-04-29
16.806,-89.566,2017-04-29
16.865,-89.604,2017-04-29
16.976,-90.894,2017-04-29
17.856,-90.943,2017-04-29
17.396,-88.839,2017-04-29
17.395,-88.829,2017-04-29
17.534,-90.738,2017-04-29
17.478,-90.52,2017-04-29
17.5,-91.112,2017-04-29
17.468,-91.151,2017-04-29
17.466,-91.137,2017-04-29
17.242,-89.963,2017-04-29
17.336,-91.174,2017-04-29
17.155,-90.083,2017-04-29
17.136,-90.252,2017-04-29
17.126,-90.254,2017-04-29
17.062,-89.84,2017-04-29
17.039,-90.058,2017-04-29
17.075,-90.487,2017-04-29
17.007,-89.969,2017-04-29
17.006,-89.958,2017-04-29
17.008,-90.05,2017-04-29
16.923,-89.725,2017-04-29
16.868,-89.61,2017-04-29
16.894,-90.108,2017-04-29
16.808,-89.559,2017-04-29
16.778,-89.487,2017-04-29
16.939,-90.771,2017-04-29
16.849,-90.085,2017-04-29
17.095,-92.101,2017-04-29
17.052,-91.933,2017-04-29
16.757,-89.621,2017-04-29
16.848,-90.537,2017-04-29
16.945,-91.535,2017-04-29
16.695,-91.914,2017-04-29
16.372,-90.171,2017-04-29
16.37,-90.16,2017-04-29
16.374,-90.658,2017-04-29
16.274,-90.592,2017-04-29
16.184,-90.525,2017-04-29
16.138,-90.568,2017-04-29
16.124,-90.613,2017-04-29
16.123,-90.601,2017-04-29
15.949,-90.835,2017-04-29
15.709,-89.274,2017-04-29
15.765,-89.755,2017-04-29
15.617,-90.329,2017-04-29
15.636,-90.55,2017-04-29
15.564,-90.616,2017-04-29
15.268,-88.556,2017-04-29
15.26,-88.499,2017-04-29
15.255,-90.059,2017-04-29
15.251,-90.104,2017-04-29
15.141,-89.543,2017-04-29
15.117,-89.373,2017-04-29
15.116,-89.363,2017-04-29
15.082,-89.327,2017-04-29
15.077,-89.358,2017-04-29
15.008,-89.456,2017-04-29
15,-89.394,2017-04-29
14.998,-89.385,2017-04-29
15.049,-90.204,2017-04-29
15.047,-90.192,2017-04-29
14.928,-90.435,2017-04-29
14.943,-91.008,2017-04-29
14.526,-89.566,2017-04-29
